,Frequency,Resistance,Reactance,Capacitance
0,0.1,9.9e+37,1.6076731021820948e-38,9.9e+37
1,0.15848931924611134,9.9e+37,1.014373151345049e-38,9.9e+37
2,0.251188643150958,9.9e+37,6.400261898846773e-39,9.9e+37
3,0.3981071705534972,9.9e+37,4.0382922516741195e-39,9.9e+37
4,0.6309573444801932,22758.7,79082.25002736061,3.18973e-06
5,1.0,18182.7,52404.10025024278,3.03716e-06
6,1.5848931924611136,15298.0,34678.82518929478,2.8958e-06
7,2.51188643150958,13318.8,23008.73061299019,2.75385e-06
8,3.9810717055349722,11961.6,15177.803493317811,2.63405e-06
9,6.309573444801933,11198.5,10148.41469652533,2.48562e-06
10,10.0,10646.1,6729.424476287873,2.36513e-06
11,15.848931924611133,10234.2,4501.958710831365,2.23065e-06
12,25.118864315095795,10001.1,3009.6990803400527,2.10528e-06
13,39.810717055349734,10267.8,1820.2514759293263,2.19635e-06
14,63.09573444801933,10083.3,1584.2226844679165,1.59227e-06
15,100.0,9830.62,1249.1926623972008,1.2741e-06
16,158.48931924611142,9632.1,782.1893336798881,1.28387e-06
17,251.18864315095797,9611.81,635.5331630080176,9.96999e-07
18,398.1071705534973,9522.06,500.3065140381053,7.99092e-07
19,630.957344480193,9483.32,514.7192274239108,4.90075e-07
20,1000.0,9486.01,521.7476327434671,3.05051e-07
21,1584.893192461114,9377.88,614.9372465381542,1.63306e-07
22,2511.88643150958,9264.28,761.6218033997887,8.31943e-08
23,3981.0717055349733,9116.05,989.8534818124228,4.03889e-08
24,6309.57344480193,8885.92,1360.1077588091111,1.85464e-08
25,10000.0,8499.08,1790.5315933025618,8.88896e-09
26,15848.93192461114,7934.64,2212.6852641761234,4.53851e-09
27,25118.864315095823,7116.32,2723.2581831326065,2.32672e-09
28,39810.71705534969,6102.98,3034.4893161673945,1.31749e-09
29,63095.7344480193,5029.51,3159.464645199175,7.98398e-10
30,100000.0,3885.85,3120.3733853271415,5.10066e-10
31,158489.3192461114,2837.46,2909.6544845426542,3.45137e-10
32,251188.6431509582,1888.66,2534.1185259273793,2.50038e-10
33,398107.1705534969,1141.17,2033.7521641065534,1.96578e-10
34,630957.344480193,636.214,1511.580398850503,1.66879e-10
35,1000000.0,354.186,1063.9226529678226,1.49597e-10
